Date,Searching_Number,Country,Time_Frame,Keyword,Language,Regions
2023-03-03,49,China,3-m,Machine learning,en,Asia
2023-03-04,0,China,3-m,Machine learning,en,Asia
2023-03-05,47,China,3-m,Machine learning,en,Asia
2023-03-06,0,China,3-m,Machine learning,en,Asia
2023-03-07,42,China,3-m,Machine learning,en,Asia
2023-03-08,26,China,3-m,Machine learning,en,Asia
2023-03-09,0,China,3-m,Machine learning,en,Asia
2023-03-10,42,China,3-m,Machine learning,en,Asia
2023-03-11,79,China,3-m,Machine learning,en,Asia
2023-03-12,0,China,3-m,Machine learning,en,Asia
2023-03-13,0,China,3-m,Machine learning,en,Asia
2023-03-14,70,China,3-m,Machine learning,en,Asia
2023-03-15,0,China,3-m,Machine learning,en,Asia
2023-03-16,69,China,3-m,Machine learning,en,Asia
2023-03-17,0,China,3-m,Machine learning,en,Asia
2023-03-18,0,China,3-m,Machine learning,en,Asia
2023-03-19,57,China,3-m,Machine learning,en,Asia
2023-03-20,38,China,3-m,Machine learning,en,Asia
2023-03-21,43,China,3-m,Machine learning,en,Asia
2023-03-22,23,China,3-m,Machine learning,en,Asia
2023-03-23,0,China,3-m,Machine learning,en,Asia
2023-03-24,0,China,3-m,Machine learning,en,Asia
2023-03-25,100,China,3-m,Machine learning,en,Asia
2023-03-26,0,China,3-m,Machine learning,en,Asia
2023-03-27,34,China,3-m,Machine learning,en,Asia
2023-03-28,30,China,3-m,Machine learning,en,Asia
2023-03-29,81,China,3-m,Machine learning,en,Asia
2023-03-30,0,China,3-m,Machine learning,en,Asia
2023-03-31,51,China,3-m,Machine learning,en,Asia
2023-04-01,34,China,3-m,Machine learning,en,Asia
2023-04-02,0,China,3-m,Machine learning,en,Asia
2023-04-03,0,China,3-m,Machine learning,en,Asia
2023-04-04,72,China,3-m,Machine learning,en,Asia
2023-04-05,41,China,3-m,Machine learning,en,Asia
2023-04-06,75,China,3-m,Machine learning,en,Asia
2023-04-07,63,China,3-m,Machine learning,en,Asia
2023-04-08,0,China,3-m,Machine learning,en,Asia
2023-04-09,74,China,3-m,Machine learning,en,Asia
2023-04-10,0,China,3-m,Machine learning,en,Asia
2023-04-11,41,China,3-m,Machine learning,en,Asia
2023-04-12,42,China,3-m,Machine learning,en,Asia
2023-04-13,72,China,3-m,Machine learning,en,Asia
2023-04-14,0,China,3-m,Machine learning,en,Asia
2023-04-15,0,China,3-m,Machine learning,en,Asia
2023-04-16,0,China,3-m,Machine learning,en,Asia
2023-04-17,0,China,3-m,Machine learning,en,Asia
2023-04-18,45,China,3-m,Machine learning,en,Asia
2023-04-19,0,China,3-m,Machine learning,en,Asia
2023-04-20,35,China,3-m,Machine learning,en,Asia
2023-04-21,23,China,3-m,Machine learning,en,Asia
2023-04-22,0,China,3-m,Machine learning,en,Asia
2023-04-23,41,China,3-m,Machine learning,en,Asia
2023-04-24,34,China,3-m,Machine learning,en,Asia
2023-04-25,20,China,3-m,Machine learning,en,Asia
2023-04-26,49,China,3-m,Machine learning,en,Asia
2023-04-27,58,China,3-m,Machine learning,en,Asia
2023-04-28,37,China,3-m,Machine learning,en,Asia
2023-04-29,41,China,3-m,Machine learning,en,Asia
2023-04-30,0,China,3-m,Machine learning,en,Asia
2023-05-01,0,China,3-m,Machine learning,en,Asia
2023-05-02,0,China,3-m,Machine learning,en,Asia
2023-05-03,55,China,3-m,Machine learning,en,Asia
2023-05-04,50,China,3-m,Machine learning,en,Asia
2023-05-05,0,China,3-m,Machine learning,en,Asia
2023-05-06,0,China,3-m,Machine learning,en,Asia
2023-05-07,0,China,3-m,Machine learning,en,Asia
2023-05-08,0,China,3-m,Machine learning,en,Asia
2023-05-09,0,China,3-m,Machine learning,en,Asia
2023-05-10,31,China,3-m,Machine learning,en,Asia
2023-05-11,0,China,3-m,Machine learning,en,Asia
2023-05-12,28,China,3-m,Machine learning,en,Asia
2023-05-13,37,China,3-m,Machine learning,en,Asia
2023-05-14,0,China,3-m,Machine learning,en,Asia
2023-02-18,43,Japan,3-m,Machine learning,en,Asia
2023-02-19,40,Japan,3-m,Machine learning,en,Asia
2023-02-20,28,Japan,3-m,Machine learning,en,Asia
2023-02-21,29,Japan,3-m,Machine learning,en,Asia
2023-02-22,0,Japan,3-m,Machine learning,en,Asia
2023-02-23,23,Japan,3-m,Machine learning,en,Asia
2023-02-24,32,Japan,3-m,Machine learning,en,Asia
2023-02-25,21,Japan,3-m,Machine learning,en,Asia
2023-02-26,0,Japan,3-m,Machine learning,en,Asia
2023-02-27,43,Japan,3-m,Machine learning,en,Asia
2023-02-28,0,Japan,3-m,Machine learning,en,Asia
2023-03-01,40,Japan,3-m,Machine learning,en,Asia
2023-03-02,50,Japan,3-m,Machine learning,en,Asia
2023-03-03,38,Japan,3-m,Machine learning,en,Asia
2023-03-04,30,Japan,3-m,Machine learning,en,Asia
2023-03-05,0,Japan,3-m,Machine learning,en,Asia
2023-03-06,33,Japan,3-m,Machine learning,en,Asia
2023-03-07,0,Japan,3-m,Machine learning,en,Asia
2023-03-08,64,Japan,3-m,Machine learning,en,Asia
2023-03-09,72,Japan,3-m,Machine learning,en,Asia
2023-03-10,23,Japan,3-m,Machine learning,en,Asia
2023-03-11,0,Japan,3-m,Machine learning,en,Asia
2023-03-12,14,Japan,3-m,Machine learning,en,Asia
2023-03-13,37,Japan,3-m,Machine learning,en,Asia
2023-03-14,34,Japan,3-m,Machine learning,en,Asia
2023-03-15,38,Japan,3-m,Machine learning,en,Asia
2023-03-16,42,Japan,3-m,Machine learning,en,Asia
2023-03-17,46,Japan,3-m,Machine learning,en,Asia
2023-03-18,38,Japan,3-m,Machine learning,en,Asia
2023-03-19,0,Japan,3-m,Machine learning,en,Asia
2023-03-20,29,Japan,3-m,Machine learning,en,Asia
2023-03-21,42,Japan,3-m,Machine learning,en,Asia
2023-03-22,31,Japan,3-m,Machine learning,en,Asia
2023-03-23,66,Japan,3-m,Machine learning,en,Asia
2023-03-24,42,Japan,3-m,Machine learning,en,Asia
2023-03-25,17,Japan,3-m,Machine learning,en,Asia
